City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Ulladulla,AU,-35.35,150.4667,69.87,97,100,26.37,overcast clouds
316,Deep River,CA,46.1001,-77.4995,24.44,88,100,10.78,overcast clouds
317,Luderitz,NA,-26.6481,15.1594,68.32,72,0,18.21,clear sky
318,Atambua,ID,-9.1061,124.8925,76.57,86,99,1.05,overcast clouds
319,Mount Isa,AU,-20.7333,139.5,94.77,16,0,11.5,clear sky
320,Rozivka,UA,46.9385,35.7724,29.39,76,100,4.76,overcast clouds
321,Vao,NC,-22.6667,167.4833,79.7,75,27,3.6,scattered clouds
322,Baiyin,CN,36.5583,104.2081,54.48,43,51,2.66,broken clouds
323,Urumqi,CN,43.801,87.6005,34.75,75,27,17.9,smoke
324,Kangaatsiaq,GL,68.3065,-53.4641,8.06,95,100,3.24,overcast clouds
325,Yuanping,CN,38.7153,112.7575,51.22,19,4,1.23,clear sky
326,Prince Rupert,CA,54.3161,-130.3201,41.09,93,100,1.14,overcast clouds
327,Saint-Joseph,RE,-21.3667,55.6167,77.83,83,100,10.27,light rain
328,Sechura,PE,-5.5569,-80.8222,75.87,78,47,4.76,scattered clouds
329,Gazanjyk,TM,39.2446,55.5154,43.68,46,91,15.41,overcast clouds
330,Ustye,RU,59.6304,39.736,-7.6,99,8,5.48,clear sky
331,Birao,CF,10.2849,22.7882,75.45,14,100,6.55,overcast clouds
332,Phuket,TH,8.0,98.25,86.22,70,40,9.22,scattered clouds
333,Batemans Bay,AU,-35.7167,150.1833,72.19,97,100,22.44,light rain
334,Kamaishi,JP,39.2667,141.8833,43.75,44,99,9.75,overcast clouds
335,Mackay,AU,-21.15,149.2,96.67,66,40,17.27,scattered clouds
336,Paris,FR,48.8534,2.3488,34.57,69,0,9.22,clear sky
337,Cockburn Town,TC,21.4612,-71.1419,77.41,75,0,22.62,clear sky
338,Verkhnyaya Inta,RU,65.9811,60.3094,-30.24,100,100,3.42,overcast clouds
339,Amga,RU,60.8953,131.9608,13.24,85,98,1.1,overcast clouds
340,Lautaro,CL,-38.5167,-72.45,51.78,86,99,1.05,overcast clouds
341,Manono,CD,-7.3,27.4167,67.87,96,95,2.42,overcast clouds
342,Ola,RU,59.5833,151.2833,17.2,65,100,10.22,overcast clouds
343,Tay Ninh,VN,11.3,106.1,86.29,42,62,5.26,broken clouds
344,Tingo Maria,PE,-9.2895,-76.0088,68.97,98,100,1.23,overcast clouds
